URL,Author,Title,Link,Timestamp
https://www.youtube.com/feeds/videos.xml?channel_id=UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Your Spacesuit Fails – What Now? #shorts,https://www.youtube.com/watch?v=eGU9Bvl7VvQ,2025-04-12T15:09:21.770947
https://www.youtube.com/feeds/videos.xml?channel_id=UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Can you solve this SAT question?,https://www.youtube.com/watch?v=ZC98ZK6Ivug,2025-04-12T15:09:21.909849
https://www.youtube.com/feeds/videos.xml?channel_id=UCoxcjq-8xIDTYp3uz647V5A,Numberphile,The World's LONGEST Klein Bottle - Numberphile,https://www.youtube.com/watch?v=v7yKZzbyF74,2025-04-12T15:09:22.064864
https://www.youtube.com/feeds/videos.xml?channel_id=UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,Measuring the distance to Venus without radar,https://www.youtube.com/watch?v=aw-8BhCilj0,2025-04-12T15:09:22.181049
https://www.youtube.com/feeds/videos.xml?channel_id=UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,"After ten years, it's time to stop weekly videos.",https://www.youtube.com/watch?v=7DKv5H5Frt0,2025-04-12T15:09:22.330690
https://www.youtube.com/feeds/videos.xml?channel_id=UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,How Do Hot Air Balloons Actually Steer?,https://www.youtube.com/watch?v=g6tlNyr5sl8,2025-04-12T15:09:22.479304
https://www.youtube.com/feeds/videos.xml?channel_id=UC2C_jShtL725hvbm1arSV9w,CGP Grey,Is The Penny *Finally* Dead?,https://www.youtube.com/watch?v=n1KgxqEQn0A,2025-04-12T15:09:22.591559
https://www.youtube.com/feeds/videos.xml?channel_id=UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay,The Unsolved Mystery of Impact Flashes - Smarter Every Day 307,https://www.youtube.com/watch?v=8nilP--GFLY,2025-04-12T15:09:22.700287
https://www.youtube.com/feeds/videos.xml?channel_id=UCeeFfhMcJa1kjtfZAGskOCA,TechLinked,Well this is concerning,https://www.youtube.com/watch?v=b8ch4JNLMS0,2025-04-12T15:09:22.807923
https://www.youtube.com/feeds/videos.xml?channel_id=UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,I Got ALL this Tech for Under $100! - Handy Tech Under $100,https://www.youtube.com/watch?v=bHmbYqBsRfU,2025-04-12T15:09:22.917885
https://feeds.content.dowjones.io/public/rss/RSSOpinion,N/A,N/A,N/A,2025-04-12T15:09:24.299570
